Hero1, Hero2, Win, Loss, Draw, Games, Win%
"Viserai, Rune Blood","Viserai, Rune Blood",0,0,0,0,-
"Viserai, Rune Blood","Iyslander, ﻿Stormbind",0,1,0,1,0.00%
"Viserai, Rune Blood","Dash, Inventor Extraordinaire",1,3,0,4,25.00%
"Viserai, Rune Blood",Dorinthea Ironsong,1,0,0,1,100.00%
"Viserai, Rune Blood","Lexi, Livewire",2,4,0,6,33.33%
"Viserai, Rune Blood","Briar, Warden of Thorns",0,2,0,2,0.00%
"Viserai, Rune Blood","Dromai, ﻿Ash Artist",2,4,0,6,33.33%
"Viserai, Rune Blood","Fai, ﻿Rising Rebellion",0,2,0,2,0.00%
"Viserai, Rune Blood","Uzuri, Switchblade",0,0,0,0,-
"Viserai, Rune Blood","Levia, Shadowborn Abomination",0,0,0,0,-
"Viserai, Rune Blood","Kano, Dracai of Aether",0,0,0,0,-
"Viserai, Rune Blood","Azalea, Ace in the Hole",1,0,0,1,100.00%
"Viserai, Rune Blood","Rhinar, Reckless Rampage",1,0,0,1,100.00%
"Viserai, Rune Blood","Bravo, Star of the Show",0,0,0,0,-
"Viserai, Rune Blood","Ser Boltyn, Breaker of Dawn",0,0,0,0,-
"Viserai, Rune Blood","Bravo, Showstopper",2,3,0,5,40.00%
"Viserai, Rune Blood","Oldhim, Grandfather of Eternity",7,5,0,12,58.33%
"Viserai, Rune Blood","Katsu, the Wanderer",1,0,0,1,100.00%
"Viserai, Rune Blood",CLEANTOTAL,18,-,-,42,42.86%
"Viserai, Rune Blood",TOTAL,18,-,-,42,42.86%
"Iyslander, ﻿Stormbind","Viserai, Rune Blood",1,0,0,1,100.00%
"Iyslander, ﻿Stormbind","Iyslander, ﻿Stormbind",1,1,0,2,50.00%
"Iyslander, ﻿Stormbind","Dash, Inventor Extraordinaire",1,0,0,1,100.00%
"Iyslander, ﻿Stormbind",Dorinthea Ironsong,0,3,0,3,0.00%
"Iyslander, ﻿Stormbind","Lexi, Livewire",7,19,0,26,26.92%
"Iyslander, ﻿Stormbind","Briar, Warden of Thorns",3,1,0,4,75.00%
"Iyslander, ﻿Stormbind","Dromai, ﻿Ash Artist",0,8,0,8,0.00%
"Iyslander, ﻿Stormbind","Fai, ﻿Rising Rebellion",0,2,0,2,0.00%
"Iyslander, ﻿Stormbind","Uzuri, Switchblade",0,1,0,1,0.00%
"Iyslander, ﻿Stormbind","Levia, Shadowborn Abomination",0,0,0,0,-
"Iyslander, ﻿Stormbind","Kano, Dracai of Aether",1,0,0,1,100.00%
"Iyslander, ﻿Stormbind","Azalea, Ace in the Hole",2,0,0,2,100.00%
"Iyslander, ﻿Stormbind","Rhinar, Reckless Rampage",1,5,0,6,16.67%
"Iyslander, ﻿Stormbind","Bravo, Star of the Show",0,0,0,0,-
"Iyslander, ﻿Stormbind","Ser Boltyn, Breaker of Dawn",0,0,0,0,-
"Iyslander, ﻿Stormbind","Bravo, Showstopper",1,1,0,2,50.00%
"Iyslander, ﻿Stormbind","Oldhim, Grandfather of Eternity",12,4,0,16,75.00%
"Iyslander, ﻿Stormbind","Katsu, the Wanderer",4,3,0,7,57.14%
"Iyslander, ﻿Stormbind",CLEANTOTAL,33,-,-,80,41.25%
"Iyslander, ﻿Stormbind",TOTAL,34,-,-,82,41.46%
"Dash, Inventor Extraordinaire","Viserai, Rune Blood",3,1,0,4,75.00%
"Dash, Inventor Extraordinaire","Iyslander, ﻿Stormbind",0,1,0,1,0.00%
"Dash, Inventor Extraordinaire","Dash, Inventor Extraordinaire",2,2,0,4,50.00%
"Dash, Inventor Extraordinaire",Dorinthea Ironsong,1,1,0,2,50.00%
"Dash, Inventor Extraordinaire","Lexi, Livewire",8,21,0,29,27.59%
"Dash, Inventor Extraordinaire","Briar, Warden of Thorns",1,2,0,3,33.33%
"Dash, Inventor Extraordinaire","Dromai, ﻿Ash Artist",6,6,0,12,50.00%
"Dash, Inventor Extraordinaire","Fai, ﻿Rising Rebellion",2,4,0,6,33.33%
"Dash, Inventor Extraordinaire","Uzuri, Switchblade",1,1,0,2,50.00%
"Dash, Inventor Extraordinaire","Levia, Shadowborn Abomination",0,0,0,0,-
"Dash, Inventor Extraordinaire","Kano, Dracai of Aether",2,1,0,3,66.67%
"Dash, Inventor Extraordinaire","Azalea, Ace in the Hole",3,4,0,7,42.86%
"Dash, Inventor Extraordinaire","Rhinar, Reckless Rampage",0,3,0,3,0.00%
"Dash, Inventor Extraordinaire","Bravo, Star of the Show",0,1,0,1,0.00%
"Dash, Inventor Extraordinaire","Ser Boltyn, Breaker of Dawn",1,0,0,1,100.00%
"Dash, Inventor Extraordinaire","Bravo, Showstopper",7,1,0,8,87.50%
"Dash, Inventor Extraordinaire","Oldhim, Grandfather of Eternity",19,7,0,26,73.08%
"Dash, Inventor Extraordinaire","Katsu, the Wanderer",3,5,0,8,37.50%
"Dash, Inventor Extraordinaire",CLEANTOTAL,57,-,-,116,49.14%
"Dash, Inventor Extraordinaire",TOTAL,59,-,-,120,49.17%
Dorinthea Ironsong,"Viserai, Rune Blood",0,1,0,1,0.00%
Dorinthea Ironsong,"Iyslander, ﻿Stormbind",3,0,0,3,100.00%
Dorinthea Ironsong,"Dash, Inventor Extraordinaire",1,1,0,2,50.00%
Dorinthea Ironsong,Dorinthea Ironsong,1,1,0,2,50.00%
Dorinthea Ironsong,"Lexi, Livewire",1,7,0,8,12.50%
Dorinthea Ironsong,"Briar, Warden of Thorns",1,3,0,4,25.00%
Dorinthea Ironsong,"Dromai, ﻿Ash Artist",1,1,0,2,50.00%
Dorinthea Ironsong,"Fai, ﻿Rising Rebellion",0,0,0,0,-
Dorinthea Ironsong,"Uzuri, Switchblade",0,0,0,0,-
Dorinthea Ironsong,"Levia, Shadowborn Abomination",0,0,0,0,-
Dorinthea Ironsong,"Kano, Dracai of Aether",0,0,0,0,-
Dorinthea Ironsong,"Azalea, Ace in the Hole",0,0,0,0,-
Dorinthea Ironsong,"Rhinar, Reckless Rampage",0,0,0,0,-
Dorinthea Ironsong,"Bravo, Star of the Show",0,0,0,0,-
Dorinthea Ironsong,"Ser Boltyn, Breaker of Dawn",0,0,0,0,-
Dorinthea Ironsong,"Bravo, Showstopper",1,2,0,3,33.33%
Dorinthea Ironsong,"Oldhim, Grandfather of Eternity",3,7,1,11,27.27%
Dorinthea Ironsong,"Katsu, the Wanderer",0,4,0,4,0.00%
Dorinthea Ironsong,CLEANTOTAL,11,-,-,38,28.95%
Dorinthea Ironsong,TOTAL,12,-,-,40,30.00%
"Lexi, Livewire","Viserai, Rune Blood",4,2,0,6,66.67%
"Lexi, Livewire","Iyslander, ﻿Stormbind",19,7,0,26,73.08%
"Lexi, Livewire","Dash, Inventor Extraordinaire",21,8,0,29,72.41%
"Lexi, Livewire",Dorinthea Ironsong,7,1,0,8,87.50%
"Lexi, Livewire","Lexi, Livewire",71,71,0,142,50.00%
"Lexi, Livewire","Briar, Warden of Thorns",17,8,0,25,68.00%
"Lexi, Livewire","Dromai, ﻿Ash Artist",29,37,0,66,43.94%
"Lexi, Livewire","Fai, ﻿Rising Rebellion",12,4,0,16,75.00%
"Lexi, Livewire","Uzuri, Switchblade",4,4,0,8,50.00%
"Lexi, Livewire","Levia, Shadowborn Abomination",0,2,0,2,0.00%
"Lexi, Livewire","Kano, Dracai of Aether",8,4,0,12,66.67%
"Lexi, Livewire","Azalea, Ace in the Hole",14,16,0,30,46.67%
"Lexi, Livewire","Rhinar, Reckless Rampage",9,3,0,12,75.00%
"Lexi, Livewire","Bravo, Star of the Show",1,0,0,1,100.00%
"Lexi, Livewire","Ser Boltyn, Breaker of Dawn",1,0,0,1,100.00%
"Lexi, Livewire","Bravo, Showstopper",21,13,0,34,61.76%
"Lexi, Livewire","Oldhim, Grandfather of Eternity",59,48,2,109,54.13%
"Lexi, Livewire","Katsu, the Wanderer",24,11,0,35,68.57%
"Lexi, Livewire",CLEANTOTAL,250,-,-,420,59.52%
"Lexi, Livewire",TOTAL,321,-,-,562,57.12%
"Briar, Warden of Thorns","Viserai, Rune Blood",2,0,0,2,100.00%
"Briar, Warden of Thorns","Iyslander, ﻿Stormbind",1,3,0,4,25.00%
"Briar, Warden of Thorns","Dash, Inventor Extraordinaire",2,1,0,3,66.67%
"Briar, Warden of Thorns",Dorinthea Ironsong,3,1,0,4,75.00%
"Briar, Warden of Thorns","Lexi, Livewire",8,17,0,25,32.00%
"Briar, Warden of Thorns","Briar, Warden of Thorns",2,2,0,4,50.00%
"Briar, Warden of Thorns","Dromai, ﻿Ash Artist",6,8,0,14,42.86%
"Briar, Warden of Thorns","Fai, ﻿Rising Rebellion",3,1,0,4,75.00%
"Briar, Warden of Thorns","Uzuri, Switchblade",0,2,0,2,0.00%
"Briar, Warden of Thorns","Levia, Shadowborn Abomination",0,0,0,0,-
"Briar, Warden of Thorns","Kano, Dracai of Aether",2,0,0,2,100.00%
"Briar, Warden of Thorns","Azalea, Ace in the Hole",0,3,0,3,0.00%
"Briar, Warden of Thorns","Rhinar, Reckless Rampage",1,0,0,1,100.00%
"Briar, Warden of Thorns","Bravo, Star of the Show",0,0,0,0,-
"Briar, Warden of Thorns","Ser Boltyn, Breaker of Dawn",1,1,0,2,50.00%
"Briar, Warden of Thorns","Bravo, Showstopper",2,1,0,3,66.67%
"Briar, Warden of Thorns","Oldhim, Grandfather of Eternity",10,9,1,20,50.00%
"Briar, Warden of Thorns","Katsu, the Wanderer",4,4,0,8,50.00%
"Briar, Warden of Thorns",CLEANTOTAL,45,-,-,97,46.39%
"Briar, Warden of Thorns",TOTAL,47,-,-,101,46.53%
"Dromai, ﻿Ash Artist","Viserai, Rune Blood",4,2,0,6,66.67%
"Dromai, ﻿Ash Artist","Iyslander, ﻿Stormbind",8,0,0,8,100.00%
"Dromai, ﻿Ash Artist","Dash, Inventor Extraordinaire",6,6,0,12,50.00%
"Dromai, ﻿Ash Artist",Dorinthea Ironsong,1,1,0,2,50.00%
"Dromai, ﻿Ash Artist","Lexi, Livewire",37,29,0,66,56.06%
"Dromai, ﻿Ash Artist","Briar, Warden of Thorns",8,6,0,14,57.14%
"Dromai, ﻿Ash Artist","Dromai, ﻿Ash Artist",11,11,2,24,45.83%
"Dromai, ﻿Ash Artist","Fai, ﻿Rising Rebellion",3,6,0,9,33.33%
"Dromai, ﻿Ash Artist","Uzuri, Switchblade",4,1,1,6,66.67%
"Dromai, ﻿Ash Artist","Levia, Shadowborn Abomination",0,0,0,0,-
"Dromai, ﻿Ash Artist","Kano, Dracai of Aether",3,4,0,7,42.86%
"Dromai, ﻿Ash Artist","Azalea, Ace in the Hole",15,4,0,19,78.95%
"Dromai, ﻿Ash Artist","Rhinar, Reckless Rampage",1,3,0,4,25.00%
"Dromai, ﻿Ash Artist","Bravo, Star of the Show",0,0,0,0,-
"Dromai, ﻿Ash Artist","Ser Boltyn, Breaker of Dawn",1,0,0,1,100.00%
"Dromai, ﻿Ash Artist","Bravo, Showstopper",3,8,1,12,25.00%
"Dromai, ﻿Ash Artist","Oldhim, Grandfather of Eternity",19,31,1,51,37.25%
"Dromai, ﻿Ash Artist","Katsu, the Wanderer",3,10,0,13,23.08%
"Dromai, ﻿Ash Artist",CLEANTOTAL,116,-,-,230,50.43%
"Dromai, ﻿Ash Artist",TOTAL,127,-,-,254,50.00%
"Fai, ﻿Rising Rebellion","Viserai, Rune Blood",2,0,0,2,100.00%
"Fai, ﻿Rising Rebellion","Iyslander, ﻿Stormbind",2,0,0,2,100.00%
"Fai, ﻿Rising Rebellion","Dash, Inventor Extraordinaire",4,2,0,6,66.67%
"Fai, ﻿Rising Rebellion",Dorinthea Ironsong,0,0,0,0,-
"Fai, ﻿Rising Rebellion","Lexi, Livewire",4,12,0,16,25.00%
"Fai, ﻿Rising Rebellion","Briar, Warden of Thorns",1,3,0,4,25.00%
"Fai, ﻿Rising Rebellion","Dromai, ﻿Ash Artist",6,3,0,9,66.67%
"Fai, ﻿Rising Rebellion","Fai, ﻿Rising Rebellion",0,0,0,0,-
"Fai, ﻿Rising Rebellion","Uzuri, Switchblade",0,0,0,0,-
"Fai, ﻿Rising Rebellion","Levia, Shadowborn Abomination",0,0,0,0,-
"Fai, ﻿Rising Rebellion","Kano, Dracai of Aether",0,0,0,0,-
"Fai, ﻿Rising Rebellion","Azalea, Ace in the Hole",0,0,0,0,-
"Fai, ﻿Rising Rebellion","Rhinar, Reckless Rampage",2,1,0,3,66.67%
"Fai, ﻿Rising Rebellion","Bravo, Star of the Show",0,0,0,0,-
"Fai, ﻿Rising Rebellion","Ser Boltyn, Breaker of Dawn",1,0,0,1,100.00%
"Fai, ﻿Rising Rebellion","Bravo, Showstopper",5,4,0,9,55.56%
"Fai, ﻿Rising Rebellion","Oldhim, Grandfather of Eternity",9,5,0,14,64.29%
"Fai, ﻿Rising Rebellion","Katsu, the Wanderer",1,0,0,1,100.00%
"Fai, ﻿Rising Rebellion",CLEANTOTAL,37,-,-,67,55.22%
"Fai, ﻿Rising Rebellion",TOTAL,37,-,-,67,55.22%
"Uzuri, Switchblade","Viserai, Rune Blood",0,0,0,0,-
"Uzuri, Switchblade","Iyslander, ﻿Stormbind",1,0,0,1,100.00%
"Uzuri, Switchblade","Dash, Inventor Extraordinaire",1,1,0,2,50.00%
"Uzuri, Switchblade",Dorinthea Ironsong,0,0,0,0,-
"Uzuri, Switchblade","Lexi, Livewire",4,4,0,8,50.00%
"Uzuri, Switchblade","Briar, Warden of Thorns",2,0,0,2,100.00%
"Uzuri, Switchblade","Dromai, ﻿Ash Artist",1,4,1,6,16.67%
"Uzuri, Switchblade","Fai, ﻿Rising Rebellion",0,0,0,0,-
"Uzuri, Switchblade","Uzuri, Switchblade",0,0,0,0,-
"Uzuri, Switchblade","Levia, Shadowborn Abomination",0,0,0,0,-
"Uzuri, Switchblade","Kano, Dracai of Aether",0,0,0,0,-
"Uzuri, Switchblade","Azalea, Ace in the Hole",0,0,0,0,-
"Uzuri, Switchblade","Rhinar, Reckless Rampage",0,0,0,0,-
"Uzuri, Switchblade","Bravo, Star of the Show",0,0,0,0,-
"Uzuri, Switchblade","Ser Boltyn, Breaker of Dawn",0,1,0,1,0.00%
"Uzuri, Switchblade","Bravo, Showstopper",1,2,0,3,33.33%
"Uzuri, Switchblade","Oldhim, Grandfather of Eternity",1,2,0,3,33.33%
"Uzuri, Switchblade","Katsu, the Wanderer",1,0,0,1,100.00%
"Uzuri, Switchblade",CLEANTOTAL,12,-,-,27,44.44%
"Uzuri, Switchblade",TOTAL,12,-,-,27,44.44%
"Levia, Shadowborn Abomination","Viserai, Rune Blood",0,0,0,0,-
"Levia, Shadowborn Abomination","Iyslander, ﻿Stormbind",0,0,0,0,-
"Levia, Shadowborn Abomination","Dash, Inventor Extraordinaire",0,0,0,0,-
